Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
2100000,2.536616,-0.015541116,0.5388157,398.72549019607845,-0.31339214947165955,-0.31339214947165955,2.041694289374658,1.0
2120000,2.445134,0.11102302,0.52934754,430.44897959183675,0.3544428551008887,0.3544428551008887,2.1958337258262444,1.0
2140000,2.44326,0.15605272,0.53202987,437.6744186046512,0.5074418842424314,0.5074418842424314,2.0351347730624987,1.0
2160000,2.422733,0.17028843,0.5264369,400.01960784313724,0.6641823563076482,0.6641823563076482,1.9642142577681179,1.0
2180000,2.39861,0.09866206,0.52440095,580.2941176470588,0.14269143087024402,0.14269143087024402,2.814936995532896,1.0
2200000,2.409875,0.22542278,0.5233829,449.86046511627904,0.7777604591101408,0.7777604591101408,2.063234448043066,1.0
2220000,2.4580739,0.18620427,0.52581084,500.85,1.0395825174782658,1.0395825174782658,2.388780270330608,1.0
2240000,2.4133422,0.15585141,0.5027958,534.8947368421053,0.40705527644604445,0.40705527644604445,2.4885546391535747,1.0
2260000,2.3685048,0.21325624,0.5031352,459.72727272727275,0.6804477430705447,0.6804477430705447,2.1049016637156126,1.0
2280000,2.3791494,0.16113038,0.48973456,531.5714285714286,0.8788171478688517,0.8788171478688517,2.130576222070626,1.0
2300000,2.375703,0.16375153,0.48425505,504.8333333333333,0.8104428460771617,0.8104428460771617,2.2233241098445085,1.0
2320000,2.3716106,0.21468037,0.48536992,495.6341463414634,0.9507268345453379,0.9507268345453379,2.2198379088829205,1.0
2340000,2.2653978,0.31124666,0.49389365,448.6521739130435,1.2726260904075943,1.2726260904075943,2.152997119595175,1.0
